_id,A_X,A_Y,A_Z
65e0db458b10dd494e77fbdf,0.11963,-0.00732,1.17114
65e0db458b10dd494e77fbe0,0.11035,-0.00415,1.17358
65e0db458b10dd494e77fbe1,0.10620,0.00195,1.16699
65e0db458b10dd494e77fbe2,0.11035,-0.00513,1.15381
65e0db458b10dd494e77fbe3,0.10889,-0.00293,1.16431
65e0db458b10dd494e77fbe4,0.11279,0.00073,1.16162
65e0db458b10dd494e77fbe5,0.11865,-0.00146,1.16455
65e0db458b10dd494e77fbe6,0.10742,-0.00366,1.15820
65e0db458b10dd494e77fbe7,0.10718,-0.01123,1.16553
65e0db458b10dd494e77fbe8,0.11255,-0.00342,1.16455
65e0db458b10dd494e77fbe9,0.12012,-0.00098,1.16626
65e0db458b10dd494e77fbea,0.11646,-0.00415,1.17432
65e0db458b10dd494e77fbeb,0.11841,-0.00439,1.16675
65e0db458b10dd494e77fbec,0.10889,0.00122,1.16284
65e0db458b10dd494e77fbed,0.11401,-0.00879,1.16870
65e0db458b10dd494e77fbee,0.10864,-0.00464,1.16650
65e0db458b10dd494e77fbef,0.11230,0.00391,1.16797
65e0db458b10dd494e77fbf0,0.12207,-0.00391,1.15527
65e0db458b10dd494e77fbf1,0.11182,-0.00244,1.16724
65e0db458b10dd494e77fbf2,0.11572,-0.00098,1.17090
65e0db458b10dd494e77fbf3,0.11572,-0.00928,1.16846
65e0db458b10dd494e77fbf4,0.11255,-0.00439,1.15503
65e0db458b10dd494e77fbf5,0.10596,-0.00488,1.16455
65e0db458b10dd494e77fbf6,0.11182,-0.00195,1.16675
65e0db458b10dd494e77fbf7,0.11401,-0.00732,1.16284
65e0db458b10dd494e77fbf8,0.11084,-0.00684,1.16699
65e0db458b10dd494e77fbf9,0.10815,-0.00146,1.16724
65e0db458b10dd494e77fbfa,0.11157,-0.00073,1.15698
65e0db458b10dd494e77fbfb,0.11133,-0.00171,1.16943
65e0db458b10dd494e77fbfc,0.11377,-0.00293,1.15771
65e0db458b10dd494e77fbfd,0.11011,-0.00659,1.16553
65e0db458b10dd494e77fbfe,0.10596,-0.00122,1.15845
65e0db458b10dd494e77fbff,0.11255,-0.00073,1.16357
65e0db458b10dd494e77fc00,0.11865,-0.00757,1.16162
65e0db458b10dd494e77fc01,0.12134,-0.00488,1.15430
65e0db458b10dd494e77fc02,0.10938,-0.00708,1.16699
65e0db458b10dd494e77fc03,0.10864,-0.00342,1.16040
65e0db458b10dd494e77fc04,0.11182,-0.00049,1.16235
65e0db458b10dd494e77fc05,0.11523,-0.00342,1.16699
65e0db458b10dd494e77fc06,0.11572,-0.00415,1.16748
65e0db458b10dd494e77fc07,0.11963,-0.00562,1.17358
65e0db458b10dd494e77fc08,0.11670,-0.00439,1.16602
65e0db458b10dd494e77fc09,0.11523,-0.00146,1.16602
65e0db458b10dd494e77fc0a,0.10962,0.00049,1.16455
65e0db458b10dd494e77fc0b,0.11401,-0.00586,1.16040
65e0db458b10dd494e77fc0c,0.10522,-0.00317,1.16553
65e0db458b10dd494e77fc0d,0.10522,0.00146,1.16675
65e0db458b10dd494e77fc0e,0.11377,-0.00732,1.15967
65e0db458b10dd494e77fc0f,0.11206,-0.00537,1.17261
65e0db458b10dd494e77fc10,0.11328,-0.00903,1.16772
65e0db458b10dd494e77fc11,0.10718,-0.00220,1.16772
65e0db458b10dd494e77fc12,0.11523,-0.00146,1.16919
65e0db458b10dd494e77fc13,0.11133,-0.00415,1.15845
65e0db458b10dd494e77fc14,0.11328,-0.00488,1.16138
65e0db458b10dd494e77fc15,0.11133,-0.00098,1.16504
65e0db458b10dd494e77fc16,0.11475,-0.00195,1.16626
65e0db458b10dd494e77fc17,0.11523,-0.00659,1.16528
65e0db458b10dd494e77fc18,0.11206,0.00342,1.16992
65e0db458b10dd494e77fc19,0.11450,0.00439,1.16162
65e0db458b10dd494e77fc1a,0.11450,0.00317,1.16699
65e0db458b10dd494e77fc1b,0.11206,-0.00293,1.17261
65e0db458b10dd494e77fc1c,0.10767,-0.00464,1.17554
65e0db458b10dd494e77fc1d,0.11035,-0.00586,1.15942
65e0db458b10dd494e77fc1e,0.11108,-0.00488,1.16577
65e0db458b10dd494e77fc1f,0.11621,0.00073,1.17188
65e0db458b10dd494e77fc20,0.11230,0.00195,1.17407
65e0db458b10dd494e77fc21,0.12207,0.00146,1.16211
65e0db458b10dd494e77fc22,0.11816,0.00000,1.15967
65e0db458b10dd494e77fc23,0.10889,-0.00659,1.15698
65e0db458b10dd494e77fc24,0.10376,-0.00073,1.16504
65e0db458b10dd494e77fc25,0.11133,-0.00439,1.16650
65e0db458b10dd494e77fc26,0.11499,-0.00659,1.15161
65e0db458b10dd494e77fc27,0.10938,-0.00513,1.16479
65e0db458b10dd494e77fc28,0.11792,-0.00952,1.16650
65e0db458b10dd494e77fc29,0.10986,0.00244,1.17236
65e0db458b10dd494e77fc2a,0.11572,-0.00391,1.16943
65e0db458b10dd494e77fc2b,0.10791,-0.00317,1.16455
65e0db458b10dd494e77fc2c,0.11353,-0.00073,1.16821
65e0db458b10dd494e77fc2d,0.11108,-0.00244,1.16943
65e0db458b10dd494e77fc2e,0.11377,0.00806,1.16138
65e0db458b10dd494e77fc2f,0.11206,-0.00488,1.16406
65e0db458b10dd494e77fc30,0.11230,-0.00830,1.16382
65e0db458b10dd494e77fc31,0.10986,-0.00684,1.16211
65e0db458b10dd494e77fc32,0.11206,-0.00391,1.17261
65e0db458b10dd494e77fc33,0.11548,-0.00439,1.16992
65e0db458b10dd494e77fc34,0.11499,-0.00488,1.16455
65e0db458b10dd494e77fc35,0.11475,-0.00391,1.16870
65e0db458b10dd494e77fc36,0.11987,-0.00293,1.17822
65e0db458b10dd494e77fc37,0.10864,-0.00562,1.16724
65e0db458b10dd494e77fc38,0.11938,-0.00903,1.16138
65e0db458b10dd494e77fc39,0.11084,-0.00879,1.16724
65e0db458b10dd494e77fc3a,0.12329,-0.00562,1.16528
65e0db458b10dd494e77fc3b,0.10864,-0.00098,1.16675
65e0db458b10dd494e77fc3c,0.11255,-0.00049,1.16284
65e0db458b10dd494e77fc3d,0.12085,-0.00244,1.16406
65e0db458b10dd494e77fc3e,0.11060,-0.00220,1.16113
65e0db458b10dd494e77fc3f,0.11328,-0.00635,1.16455
65e0db458b10dd494e77fc40,0.10913,-0.00537,1.16455
65e0db458b10dd494e77fc41,0.10864,-0.00122,1.16333
65e0db458b10dd494e77fc42,0.11890,-0.00146,1.16943
65e0db458b10dd494e77fc43,0.11987,0.00049,1.16406
65e0db458b10dd494e77fc44,0.11694,-0.00781,1.15991
65e0db458b10dd494e77fc45,0.11401,-0.00342,1.17798
65e0db458b10dd494e77fc46,0.10669,-0.00537,1.17261
65e0db458b10dd494e77fc47,0.11255,-0.00415,1.16260
65e0db458b10dd494e77fc48,0.11450,-0.00488,1.17188
65e0db458b10dd494e77fc49,0.10767,-0.00269,1.16309
65e0db458b10dd494e77fc4a,0.12012,0.00366,1.16724
65e0db458b10dd494e77fc4b,0.11963,-0.00269,1.16675
65e0db458b10dd494e77fc4c,0.10962,-0.00293,1.16211
65e0db458b10dd494e77fc4d,0.10815,-0.00146,1.16187
65e0db458b10dd494e77fc4e,0.11011,0.00513,1.16357
65e0db458b10dd494e77fc4f,0.11255,-0.00464,1.17554
65e0db458b10dd494e77fc50,0.10571,-0.00098,1.16187
65e0db458b10dd494e77fc51,0.11182,-0.00317,1.17139
65e0db458b10dd494e77fc52,0.11377,-0.00195,1.16626
65e0db458b10dd494e77fc53,0.11255,-0.00073,1.16260
65e0db458b10dd494e77fc54,0.11499,-0.00391,1.16479
65e0db458b10dd494e77fc55,0.11621,-0.01025,1.16016
65e0db458b10dd494e77fc56,0.10791,-0.00415,1.16650
65e0db458b10dd494e77fc57,0.10547,-0.00659,1.16333
65e0db458b10dd494e77fc58,0.11157,-0.00684,1.16162
65e0db458b10dd494e77fc59,0.10840,-0.00928,1.17236
65e0db458b10dd494e77fc5a,0.11255,0.00049,1.17578
65e0db458b10dd494e77fc5b,0.11792,-0.00293,1.15820
65e0db458b10dd494e77fc5c,0.11401,-0.00635,1.16528
65e0db458b10dd494e77fc5d,0.11230,-0.00513,1.15820
65e0db458b10dd494e77fc5e,0.10547,-0.00391,1.16748
65e0db458b10dd494e77fc5f,0.11304,-0.00732,1.16333
65e0db458b10dd494e77fc60,0.11621,-0.00342,1.16333
65e0db458b10dd494e77fc61,0.11401,-0.00024,1.16357
65e0db458b10dd494e77fc62,0.10913,0.00244,1.16943
65e0db458b10dd494e77fc63,0.11938,-0.00391,1.17114
65e0db458b10dd494e77fc64,0.11133,-0.00244,1.16235
65e0db458b10dd494e77fc65,0.11646,-0.00488,1.16895
65e0db458b10dd494e77fc66,0.11108,-0.00098,1.16895
65e0db458b10dd494e77fc67,0.11646,-0.00293,1.15356
65e0db458b10dd494e77fc68,0.12158,-0.00757,1.16431
65e0db458b10dd494e77fc69,0.10815,-0.00562,1.15527
65e0db458b10dd494e77fc6a,0.11060,-0.00537,1.16162
65e0db458b10dd494e77fc6b,0.10669,-0.00562,1.17188
65e0db458b10dd494e77fc6c,0.11499,-0.00635,1.15918
65e0db458b10dd494e77fc6d,0.11719,-0.00391,1.16675
65e0db458b10dd494e77fc6e,0.11206,-0.00342,1.16162
65e0db458b10dd494e77fc6f,0.11548,-0.01099,1.16235
65e0db458b10dd494e77fc70,0.11353,-0.00659,1.16504
65e0db458b10dd494e77fc71,0.10840,-0.00635,1.15747
65e0db458b10dd494e77fc72,0.10864,-0.00537,1.16797
65e0db458b10dd494e77fc73,0.11743,-0.00122,1.16968
65e0db458b10dd494e77fc74,0.11304,-0.00537,1.16016
65e0db458b10dd494e77fc75,0.11353,-0.00342,1.17529
65e0db458b10dd494e77fc76,0.11450,0.00098,1.17065
