_id,A_X,A_Y,A_Z
65e0dd708b10dd494e780554,0.13965,0.03101,1.15771
65e0dd708b10dd494e780555,0.08984,-0.03076,1.17236
65e0dd708b10dd494e780556,0.12036,0.00366,1.16064
65e0dd708b10dd494e780557,0.11523,0.03125,1.15967
65e0dd708b10dd494e780558,0.09717,-0.01904,1.16553
65e0dd708b10dd494e780559,0.15796,-0.00684,1.16382
65e0dd708b10dd494e78055a,0.11621,-0.03418,1.16724
65e0dd708b10dd494e78055b,0.09619,0.00903,1.16797
65e0dd708b10dd494e78055c,0.13647,0.01538,1.15845
65e0dd708b10dd494e78055d,0.11743,-0.02393,1.16602
65e0dd708b10dd494e78055e,0.10620,0.00537,1.16113
65e0dd708b10dd494e78055f,0.11963,0.04443,1.16821
65e0dd708b10dd494e780560,0.11890,-0.05322,1.16602
65e0dd708b10dd494e780561,0.11279,0.04224,1.15601
65e0dd708b10dd494e780562,0.11377,0.00366,1.17139
65e0dd708b10dd494e780563,0.12085,-0.01489,1.17627
65e0dd708b10dd494e780564,0.09985,0.01147,1.16699
65e0dd708b10dd494e780565,0.08496,-0.02588,1.17676
65e0dd708b10dd494e780566,0.11328,-0.01123,1.16577
65e0dd708b10dd494e780567,0.13818,-0.00171,1.16724
65e0dd708b10dd494e780568,0.10547,-0.01245,1.17236
65e0dd708b10dd494e780569,0.11816,0.00415,1.15991
65e0dd708b10dd494e78056a,0.11206,0.02417,1.16846
65e0dd708b10dd494e78056b,0.08618,-0.02930,1.17163
65e0dd708b10dd494e78056c,0.13281,0.00488,1.17871
65e0dd708b10dd494e78056d,0.11426,0.01440,1.16528
65e0dd708b10dd494e78056e,0.11719,-0.01953,1.17188
65e0dd708b10dd494e78056f,0.10645,0.00073,1.15601
65e0dd708b10dd494e780570,0.11401,0.02905,1.16284
65e0dd708b10dd494e780571,0.12378,-0.02515,1.16821
65e0dd708b10dd494e780572,0.09668,0.00269,1.16284
65e0dd708b10dd494e780573,0.12329,0.03760,1.16431
65e0dd708b10dd494e780574,0.09912,-0.04834,1.16919
65e0dd708b10dd494e780575,0.09644,0.02881,1.16943
65e0dd708b10dd494e780576,0.11499,0.00684,1.17896
65e0dd708b10dd494e780577,0.11963,-0.01367,1.16870
65e0dd708b10dd494e780578,0.14111,0.03027,1.15942
65e0dd708b10dd494e780579,0.09814,-0.01904,1.16699
65e0dd708b10dd494e78057a,0.10889,-0.00757,1.16309
65e0dd708b10dd494e78057b,0.12158,0.03223,1.16626
65e0dd708b10dd494e78057c,0.10742,-0.04297,1.16699
65e0dd708b10dd494e78057d,0.11279,0.01538,1.15894
65e0dd708b10dd494e78057e,0.12720,0.02319,1.17285
